Name,Einheit (g / Stück),Kalorien,Fett,Kohlenhydrate,Eiweiß,Marke
Apfelsaft,100.0,44.0,0.0,10.0,0.0,Sachsenobst
Orangensaft,100.0,43.0,0.0,8.8,0.7,Sachsenobst
Tomatensaft,100.0,15.0,0.0,2.5,0.9,Sachsenobst
Grapefruitsaft,100.0,39.0,0.1,8.0,0.6,Sachsenobst
Pesto Chili,100.0,314.0,28.5,11.1,3.2,Saclà
Pesto Arrabbiata,100.0,254.0,22.7,8.1,2.4,Saclà
Peperonata,100.0,137.0,9.5,10.4,1.0,Saclà
Pesto Getrocknete Tomaten Knoblauch,100.0,190.0,16.0,8.0,3.7,Saclà
Pesto mit Bärlauch,100.0,378.0,38.9,4.2,3.0,Saclà
Pesto Rosso Vegan,100.0,354.0,36.0,3.2,2.1,Saclà
Pesto Alla Genovese,100.0,453.0,45.0,4.6,4.9,Saclà
Pomodori Secchi,100.0,208.0,15.8,8.2,3.9,Saclà
Pesto Paprika Auberginen,100.0,251.0,25.0,3.6,1.8,Saclà
Pesto Verde Vegan,100.0,412.0,40.0,10.0,2.7,Saclà
Brause-Stäbchen,5 Stück ,86.0,0.2,20.0,0.1,Sadex
Brausestäbchen,100.0,409.0,1.1,95.4,0.7,Sadex
Brause Pops,100.0,365.0,0.5,87.0,0.2,Sadex
Brause-Stäbchen Minis ,100.0,399.0,1.7,95.0,0.7,Sadex
Chicken Nuggets,100.0,205.0,8.4,21.0,11.0,Sadia
Makrelenfilets,100.0,277.0,21.0,0.5,22.0,Saeby
Original Griechischer Joghurt,100.0,70.0,2.0,3.9,9.0,Safos
Manouri,100.0,380.0,38.0,1.3,8.1,Safos
Veta,100.0,295.0,28.5,10.5,1.8,Safos
Feta,100.0,289.0,24.0,0.2,16.5,Safos
Halloumi,100г,333.0,25.1,2.4,24.4,Safos
Bergfeta,100.0,290.0,24.5,0.7,16.5,Safos
Tzatziki,100.0,75.0,2.0,11.5,2.8,Safos
Vesta,100.0,306.0,28.0,10.0,1.8,Safos
Mojito Alkoholfrei,100.0,33.0,0.1,7.4,0.2,Saftig
Smoothie Apfel Rote Beete Schwarze Johannisbeere,100.0,52.0,0.5,11.6,0.5,Saftig
Smoothie Apfel Grünkohl Limette,100.0,44.0,0.5,9.3,0.6,Saftig
"Smoothie Karotte, Orange, Rote Paprika ",100.0,30.0,0.5,5.6,0.7,Saftig
Smoothie Kiwi Banane Ananas,100.0,54.0,0.1,11.5,0.7,Saftig
Ananas-Mangosaft,100.0,56.0,0.1,13.6,0.3,Saftig
Smoothie Ananas Banane Zitronengras,100.0,68.0,0.1,15.7,0.9,Saftig
Aprikose Kürbis ,100.0,34.0,0.1,7.3,0.5,Saftig
Pinita Colada,100.0,50.0,0.7,10.4,0.3,Saftig
Smoothie Maracuja Lulo ,100.0,60.0,0.1,13.6,0.7,Saftig
Französischer Weichkäse,1 Portion ,113.0,10.0,0.3,5.0,Saint Albray
Saint Albray ,100.0,365.0,33.0,0.5,17.0,Saint Albray
Mild-Würzig & Cremig,1 Scheibe ,55.0,4.5,0.1,3.7,Saint Albray
Leicht,100.0,264.0,20.0,0.5,21.0,Saint Albray
Weichkäse,100.0,365.0,33.0,0.5,17.0,Saint Albray
Weichkäse,1 Portion ,110.0,9.9,0.2,5.1,Saint Albray
Käse,1 Scheibe ,67.0,5.5,0.1,4.4,Saint Albray
Cremig Intense ,100.0,344.0,28.0,0.5,23.0,Saint Albray
L' Intense Besonders Cremig & Würzig,1 Portion ,110.0,9.9,0.2,5.1,Saint Albray
L'intense,100.0,365.0,33.0,0.5,17.0,Saint Albray
Käse,100.0,353.0,29.0,0.5,23.0,Saint Albray
Klosterkäse,1 Scheibe ,67.0,5.5,0.1,4.4,Saint Albray
Legere,100.0,264.0,20.0,0.5,21.0,Saint Albray
Mild-Würzige Scheiben Cremig-Fein,100.0,348.0,28.0,1.0,23.0,Saint Albray
Klosterkäse,100.0,356.0,29.0,0.0,23.0,Saint Albray
Klosterkäse Kräftig-Würzig,1 Scheibe ,67.0,5.3,0.1,4.8,Saint Albray
Klosterkäse Aromatisch-Würzig,100.0,336.0,28.0,0.0,21.0,Saint Albray
Klosterkäse Leicht,100.0,251.0,15.0,0.0,29.0,Saint Albray
Saint-Tropez (Medium Ca. 29 Cm),1 Portion,134.0,62.22,135.4,58.17,Saint Albray
Saint-Tropez (Small Ca. 25 Cm),1 Portion,937.0,43.48,94.38,41.17,Saint Albray
Saint-Tropez (Large Ca. 33 Cm),1 Portion,176.0,81.34,178.8,77.94,Saint Albray
Le Saint Morgon,100.0,287.0,23.0,0.5,20.0,Saint Albray
Petit Saint Paulin,100.0,305.0,25.0,0.1,20.0,Saint Albray
Saint Agur,100.0,361.0,33.0,0.5,16.0,Saint Albray
Saint Félicien,100.0,298.0,27.0,1.7,12.0,Saint Albray
Tavukburger,100.0,197.0,12.4,9.3,11.9,Sakir
Tavuksosis,100.0,212.0,14.0,9.4,13.0,Sakir
Knoblauchcreme,100.0,389.0,37.8,6.4,5.2,Salagusto
Superfood Salad Kichererbsen und Quinoa,100.0,125.0,5.0,12.0,5.0,Salagusto
Kartoffelcreme ,100.0,374.0,37.2,4.5,4.9,Salagusto
Edamame & Kichererbsen Superfood Salad ,100.0,104.0,5.4,6.0,5.0,Salagusto
Feta Light,100.0,161.0,9.0,0.9,19.0,Salakis
Feta,100.0,272.0,23.0,0.8,16.0,Salakis
Schafskäse Light 9%,100.0,161.0,9.0,0.9,19.0,Salakis
Feta Natur,100.0,272.0,23.0,0.8,16.0,Salakis
Salakis Natur,100.0,272.0,22.8,0.8,15.7,Salakis
Salakis Light 9%,100.0,161.0,9.0,0.9,19.0,Salakis
Feta Kräuter,100.0,269.0,23.0,0.8,15.0,Salakis
Schafskäse -25% Salz ,100.0,273.0,23.0,0.8,15.7,Salakis
Back Schafkäse,100.0,284.0,16.0,23.0,12.0,Salakis
Meze,100.0,167.0,12.5,4.4,9.2,Salakis
Griechischer Krautsalat,100.0,107.0,5.0,12.8,1.0,Salatkönig
Salat,100.0,13.0,0.2,1.6,1.0,Salatkönig
Kartoffel-Creme,100.0,246.0,22.3,6.8,4.4,Salatkönig
Tzatziki,100.0,206.0,18.2,5.7,4.4,Salatkönig
Frischer Weißkrautsalat,100.0,107.0,5.0,12.8,1.0,Salatkönig
Gurkensalat,100.0,128.0,10.4,7.5,0.8,Salatkönig
Heringssalat,100.0,275.0,24.5,7.7,4.9,Salatkönig
Fleischsalat ,100.0,279.0,26.1,6.9,3.8,Salatkönig
Sour-Creme ,100.0,166.0,11.7,6.5,7.7,Salatkönig
Farmersalat,100.0,244.0,21.8,9.7,1.1,Salatkönig
Schoko Milch,100.0,53.0,0.3,8.9,3.6,Saliter
Alpen Kaffeesahne,100.0,120.0,10.0,4.3,3.1,Saliter
Magermilchpulver,100.0,356.0,1.0,51.7,35.5,Saliter
Bananenmilch,100.0,50.0,0.1,8.9,3.3,Saliter
Bio Schokomilch,100.0,69.0,1.7,9.8,3.6,Saliter
Erdbeer Milch,100.0,50.0,0.1,8.8,3.3,Saliter
Bio Kaffeemilch,100.0,68.0,4.0,4.6,3.4,Saliter
Vanillemilch,100.0,52.0,0.1,9.4,3.3,Saliter
Bio Kaffeesahne ,100.0,120.0,10.0,4.3,3.1,Saliter
Vanilla Milch,100.0,52.0,0.1,9.4,3.3,Saliter
Salitos,100.0,52.0,0.0,5.0,0.0,Salitos
Ice,100.0,72.0,0.0,10.6,0.1,Salitos
Blue,100.0,72.0,0.0,10.6,0.0,Salitos
Sallos,100.0,413.0,5.9,89.5,0.3,Sallos
X-TREME ,100.0,392.0,0.0,98.0,0.5,Sallos
Sallos X-Plosiv,100.0,389.0,0.0,97.0,0.0,Sallos
Schwarzweich,100.0,345.0,0.2,85.0,0.7,Sallos
Schwarzweich Salted Caramel,100.0,344.0,0.2,85.0,0.7,Sallos
Weichlakritz,100.0,342.0,0.2,81.0,4.0,Sallos
Salmiak Pastillen ,100.0,341.0,3.9,70.0,5.8,Sallos
Kaubonbons ,100.0,340.0,0.2,82.0,0.7,Sallos
Black&White,100.0,332.0,0.0,83.0,0.0,Sallos
Sallos X-Tra Cool,100.0,410.0,5.3,90.3,0.2,Sallos
Sallos X-Treme,100.0,377.0,0.0,93.9,0.3,Sallos
