Name,Einheit (g / Stück),Kalorien,Fett,Kohlenhydrate,Eiweiß,Marke
Sushi Set Groß,1 Portion,670.0,9.0,105.0,37.0,Akakiko
Sushi Set Mittel,1 Portion,550.0,6.58,88.84,30.48,Akakiko
Sushi Set Klein,1 Portion,440.0,5.15,71.45,24.67,Akakiko
Belegtes Brötchen,100.0,350.0,12.0,35.0,27.0,Backbude
Quarktasche,100.0,294.0,15.4,31.4,7.6,Backbude
Brötchen,100.0,269.0,1.8,55.3,7.9,Backbude
Vollkornbrötchen,100.0,223.0,1.6,43.5,8.1,Backbude
Laugenzopf,100.0,235.0,2.03,46.98,7.24,Backbude
Schokohörnchen,100.0,373.0,20.9,39.2,7.2,Backbude
Mehrkornbrötchen ,1 Stück  ,212.0,3.6,37.7,7.4,Backbude
Berliner,100.0,307.0,10.8,45.8,5.0,Backbude
Donut,100.0,405.0,24.7,40.0,5.6,Backbude
Muffin,100.0,425.0,25.1,44.6,5.3,Backbude
Laugenbrezel,100.0,241.0,2.96,46.5,7.09,Backbude
Wiener,1 Stück,421.0,30.0,28.0,9.0,Backbude
Apfel-Schoko-Muffin,1 Stück ,117.0,6.0,12.0,3.0,Backbude
Schusterjungs,100.0,249.0,1.0,52.0,8.0,Backbude
Schokocroissant,100.0,332.0,12.3,47.6,6.4,Bäcker Görtz
Brezel,100.0,369.0,7.4,63.0,10.0,Bäcker Görtz
Käselaugenstange,100.0,306.0,9.2,44.5,10.5,Bäcker Görtz
Mohnschnecke,100.0,331.0,16.5,40.3,5.3,Bäcker Görtz
Apfeltasche,100.0,279.0,16.3,29.8,3.2,Bäcker Görtz
Käsebrötchen,100.0,263.0,3.2,48.9,8.7,Bäcker Görtz
Winzerbrötchen,100.0,223.0,5.7,32.8,7.8,Bäcker Görtz
Backi,100.0,265.0,1.1,54.8,8.0,Bäcker Görtz
Käsebrezel,100.0,251.0,6.5,37.5,10.2,Bäcker Görtz
Laugenbrötchen,100.0,259.0,3.6,48.8,7.2,Bäcker Görtz
Schusterjunge,1 Brötchen ,163.0,1.5,31.7,4.88,Bäcker Görtz
Rahmkuchen,100.0,288.0,17.3,29.9,3.4,Bäcker Görtz
Nusszopf ,100.0,335.0,12.2,48.1,7.3,Bäcker Görtz
Mohnzopf,100.0,281.0,3.1,53.4,8.8,Bäcker Görtz
Käsebrötchen mit Ei,100.0,173.0,7.2,19.6,7.3,Bäcker Görtz
Körnerstange ,100.0,307.0,7.6,41.5,10.9,Bäcker Görtz
Kürbiskernbrötchen,100.0,304.0,13.0,31.0,12.0,Bäcker Görtz
Croissant,100.0,344.0,18.4,36.9,7.7,Bäcker Görtz
Urkruste,100.0,234.0,1.0,46.0,6.7,Bäcker Görtz
Berliner - Himbeer,100.0,421.0,19.0,55.0,6.4,Bäcker Görtz
Flotte Pute,100.0,247.0,9.5,30.7,9.3,Bäcker Görtz
Siegfried,100.0,250.0,5.8,42.5,6.2,Bäcker Görtz
Salamibrötchen,100.0,230.0,7.6,23.0,6.9,Bäcker Görtz
Opas Landbrot ,100.0,235.0,1.1,47.5,8.1,Bäcker Görtz
Zimtschnecke,100.0,336.0,7.8,57.0,7.6,Bäcker Görtz
Croissant mit Schinken +Käse,100.0,335.0,18.0,24.0,14.0,Bäcker Görtz
Fleischkäsebrötchen,100.0,278.0,21.0,12.0,11.0,Bäcker Görtz
Herzschlag,100.0,235.0,2.8,42.0,8.2,Bäcker Görtz
Nusskringel,100.0,394.0,19.0,46.0,7.5,Bäcker Görtz
Puddingknoten,100.0,350.0,14.2,49.5,5.4,Bäcker Görtz
Haferkornbrötchen,100.0,349.0,4.1,61.0,12.0,Bäcker Görtz
Flute,100.0,281.0,1.1,55.0,8.7,Bäcker Görtz
Gutsherrenbrot,100.0,238.0,1.0,47.0,7.7,Bäcker Görtz
Brezel mit Kürbiskernen,100.0,398.0,11.0,60.0,12.0,Bäcker Görtz
Knusperstange,100.0,358.0,20.0,31.0,9.1,Bäcker Görtz
Kirsch-Streusel-Schnitte,100.0,271.0,9.1,43.0,3.6,Bäcker Görtz
Schlauberger,100.0,227.0,6.6,34.0,9.5,Bäcker Görtz
Käsebrötchen mit Pute und Krautsalat,100.0,206.0,6.7,19.0,10.0,Bäcker Görtz
Schusterjunge,100.0,269.0,2.8,49.0,8.3,Bäcker Görtz
Muffin Blueberry,100.0,426.0,24.0,47.0,5.9,Bäcker Görtz
Panini Tomaten & Mozarella,100.0,244.0,13.0,19.0,8.6,Bäcker Görtz
Himbeer Joghurt Schnitte,100.0,234.0,9.1,33.0,3.3,Bäcker Görtz
Kastenweißbrot,100.0,288.0,3.1,54.0,8.4,Bäcker Görtz
Rosini,100.0,340.0,9.4,56.0,9.1,Bäcker Görtz
Roggen,100.0,210.0,0.9,44.3,5.6,Bäcker Görtz
Bauernlaib,100.0,239.0,1.0,47.0,6.8,Bäcker Görtz
Frikadellenbrötchen,100.0,270.0,15.0,20.0,11.0,Bäcker Görtz
Hallo Körnerstange,100.0,261.0,15.0,22.0,7.9,Bäcker Görtz
Dinkel,100.0,277.0,11.0,32.0,8.5,Bäcker Görtz
Dinkel-Sesam-Brötchen,100.0,343.0,8.3,52.0,12.0,Bäcker Görtz
Pfälzer,100.0,236.0,0.9,47.0,7.3,Bäcker Görtz
Brezel mit Sesam,100.0,382.0,9.0,62.0,11.0,Bäcker Görtz
Siegfried M. Butter,100.0,363.0,18.0,41.0,6.7,Bäcker Görtz
Cookie,100.0,473.0,20.0,63.0,5.6,Bäcker Görtz
Käse-Kürbisbrezel,100.0,407.0,16.0,48.0,16.0,Bäcker Görtz
Schoko-Spekulatiuskuchen,100.0,501.0,32.0,46.0,7.1,Bäcker Görtz
Nussknacker,100.0,321.0,12.0,42.0,9.9,Bäcker Görtz
Landliebe,100.0,265.0,19.0,12.0,10.0,Bäcker Görtz
Peperonistange,100.0,259.0,2.9,49.9,7.4,Bäcker Görtz
Siegfried M. Salami+Käse,100.0,273.0,10.0,26.0,8.8,Bäcker Görtz
Muffin Schoko-Spekulatius,100.0,470.0,26.0,53.0,6.5,Bäcker Görtz
Kornkraft,100.0,267.0,10.0,31.0,9.3,Bäcker Görtz
Unser Handwerker,100.0,258.0,8.2,34.0,9.1,Bäcker Görtz
Double Chocolate Schnitte,100.0,358.0,21.0,37.0,4.6,Bäcker Görtz
Unser Winzer,100.0,236.0,12.0,15.0,11.0,Bäcker Görtz
Brotzeit mit Frischkäse und Radieschen,100.0,166.0,8.0,17.0,5.4,Bäcker Görtz
Kirsch Mascarpone Schnitte,100.0,291.0,16.0,33.0,3.7,Bäcker Görtz
Börekstick,100.0,295.0,15.0,31.0,7.7,Bäcker Görtz
Power Bowl,100.0,99.0,4.7,9.0,4.3,Bäcker Görtz
Kornkruste,100.0,269.0,7.2,39.0,9.6,Bäcker Görtz
Tannenbaum,100.0,349.0,8.6,57.0,9.2,Bäcker Görtz
Heidelbeer Joghurt Schnitte ,100.0,256.0,12.0,33.0,3.9,Bäcker Görtz
Liebling,100.0,455.0,21.0,56.0,8.9,Bäcker Görtz
Schusters Pause,100.0,208.0,6.4,21.0,7.9,Bäcker Görtz
Schoko Himbeer Sahne,100.0,342.0,23.0,29.0,4.4,Bäcker Görtz
Käsezeit,100.0,246.0,13.0,20.0,11.0,Bäcker Görtz
Käsekuchen Schnitte mit Rosinen,100.0,265.0,11.0,34.0,8.7,Bäcker Görtz
Salzweck,100.0,300.0,3.2,54.0,9.1,Bäcker Görtz
Streuselkuchen Jun.,100.0,444.0,17.0,63.0,8.3,Bäcker Görtz
Stollenschnecke,100.0,402.0,19.0,50.0,7.6,Bäcker Görtz
Käsesalamibrezel,100.0,365.0,15.0,42.0,14.0,Bäcker Görtz
Panini mit Chorizo,100.0,252.0,12.0,23.0,7.7,Bäcker Görtz
Handwerkerstulle,100.0,234.0,6.8,21.0,7.4,Bäcker Görtz
Apfelzimtschnitte,100.0,354.0,21.0,37.0,4.3,Bäcker Görtz
Eierlikörsahne,100.0,396.0,21.0,39.0,5.5,Bäcker Görtz
Karottenbrötchen,100.0,291.0,6.0,43.0,10.0,Bäcker Görtz
Italian Chicken,100.0,70.0,2.9,3.0,7.3,Bäcker Görtz
Opas Käsekuchen,100.0,239.0,9.9,28.0,9.0,Bäcker Görtz
Hefekranz,100.0,358.0,11.0,53.0,9.8,Bäcker Görtz
Focaccia mit Käse+Tomaten,100.0,293.0,14.0,28.0,12.0,Bäcker Görtz
Meister Bäcker Brötchen Dinkel,1 Brötchen ,168.0,3.0,26.0,7.2,Bäcker Görtz
Meister Bäcker Brötchen Dinkel,100.0,278.0,5.0,43.0,12.0,Bäcker Görtz
Bäcker Kruste Tomate Käse,1 Portion ,376.0,10.9,49.8,15.5,Bäcker Görtz
